id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
56766,Amazing duplex-terrace in old Lyon,269557,Isabelle,,5e Arrondissement,45.76312,4.82813,Entire home/apt,190,30,55,2018-09-04,0.41,1,30,0,"Available with a mobility lease only (""bail mobilité"")"
77104,Nice Flat in the center of Lyon,411285,Clementine,,1er Arrondissement,45.76842,4.82745,Entire home/apt,104,2,20,2019-12-08,0.15,1,363,0,6938113058353
136556,At home near Les Halles Paul Bocuse,668524,Nathalie,,3e Arrondissement,45.76346,4.85338,Entire home/apt,99,3,2,2021-06-10,0.02,1,155,1,0693831600055
137132,"Bel apartment, 2 rooms, Lyon center",670404,Sandrine,,6e Arrondissement,45.76996,4.85332,Entire home/apt,88,3,20,2019-12-28,0.16,1,265,0,0693861800177
174304,Apartment in the heart of the city,832917,Giuseppina,,1er Arrondissement,45.76695,4.83241,Entire home/apt,186,2,318,2021-12-05,2.78,2,160,34,6938112368465
249711,very pleasant and located idealment,1308521,Anaïs,,7e Arrondissement,45.75207,4.83978,Entire home/apt,200,2,20,2021-07-25,0.17,2,352,2,D202109230976
251630,STUDIO 5 MN OPERA LYON FURNISHED,1319577,Emmanuel,,1er Arrondissement,45.77047,4.834133,Entire home/apt,40,30,3,2021-06-16,0.04,2,275,2,6938113043606
298089,triple room in a big flat,1221016,Romain,,3e Arrondissement,45.75775,4.87644,Private room,22,1,104,2020-01-30,0.87,8,0,0,693801234841
329950,Roomy and luminous apartment,1683652,NATHALIE Et ALAIN,,3e Arrondissement,45.7467,4.87099,Entire home/apt,120,4,20,2019-07-08,0.18,1,0,0,6938312655352
342674,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Yoann & Ida,,3e Arrondissement,45.75383,4.84758,Entire home/apt,155,1,246,2021-11-24,2.13,1,275,37,6938312360788
349150,Charming Flat in old Town center,1769157,Jacques,,5e Arrondissement,45.76401,4.82896,Entire home/apt,105,2,402,2021-11-16,3.41,1,177,22,6938513079326
365998,Studio situé au cœur historique de Lyon,1848025,Anne-Marie,,1er Arrondissement,45.76983,4.8293,Entire home/apt,66,3,126,2021-12-04,1.09,1,323,18,6938112647884
369303,"Independent room on terrace with trees, B&B,Garage",1862505,Jean François,,6e Arrondissement,45.76487,4.86761,Entire home/apt,58,2,468,2021-10-29,3.95,1,1,21,Exempt - hotel-type listing
387453,"in downtown LYON, your little PROVENCE",718463,"Lionel, Layla & Samuel",,1er Arrondissement,45.769253,4.829836,Entire home/apt,90,4,69,2020-08-10,0.59,1,0,0,6938112646993
403747,FULL City CENTER Lyon Bellecour,2013310,Boris,,2e Arrondissement,45.75865,4.83353,Private room,58,1,564,2021-12-03,4.80,1,259,17,
416475,Cosy 2-bedroom flat at the heart of Lyon,2070908,Amy,,1er Arrondissement,45.76913,4.83567,Entire home/apt,55,365,0,,,1,0,0,
452349,Chambre calme proche gare SNCF,2247516,Arnaud,,3e Arrondissement,45.75453,4.87081,Private room,69,1,41,2021-09-26,0.36,1,170,2,
551810,Charming rooftop house terrace and view Fourviere,2711663,Julie Et Michael,,2e Arrondissement,45.76489,4.8314,Entire home/apt,113,4,39,2021-10-21,0.48,1,194,2,6938112369158
593123,Belle chambre libre dans un T3,2928155,Fadel,,7e Arrondissement,45.74275,4.83755,Private room,26,4,6,2015-01-16,0.06,1,0,0,
612551,Nice and quiet two rooms flat,3038226,Sophie,,1er Arrondissement,45.76903,4.83281,Entire home/apt,70,100,16,2021-10-01,0.15,6,273,3,6938112414193
625569,Chambre Maison Grand confort Lyon,3103951,Agnès,,9e Arrondissement,45.80187,4.82131,Private room,24,1,10,2020-07-19,0.09,8,347,0,
626944,"❤️   Lyon 70 m² Quiet, with Balcony, Clean++ ❤️",1803736,Lisa,,6e Arrondissement,45.76648,4.84947,Entire home/apt,108,1,184,2021-11-22,1.64,2,310,13,6938612352787
635366,A LOVELY BEDROOM IN VIEUX-LYON,3165326,Mila & Julien,,5e Arrondissement,45.75629,4.82355,Private room,66,2,301,2021-08-15,2.65,3,54,14,
635954,Lovely typical flat in the old Lyon,3165326,Mila & Julien,,5e Arrondissement,45.75793,4.825,Entire home/apt,102,365,47,2021-07-24,0.41,3,102,1,LYR-2254567
681291,quiet room in Lyon croix rousse,3469111,Laurence,,4e Arrondissement,45.77992,4.8374,Private room,47,1,77,2021-11-28,0.77,1,78,37,HO01541
695607,"cottage in ""Monchat""",3560828,Nicolas,,3e Arrondissement,45.74342,4.88471,Entire home/apt,107,3,38,2020-10-02,0.38,1,171,0,6938312657827
746054,THE HEART OF LYON C (bed /breakfat),3912388,Monik,,3e Arrondissement,45.75456,4.85125,Private room,58,2,19,2021-12-11,0.17,2,345,1,
747327,Un grand appartement à Lyon,3922797,Sylvain,,7e Arrondissement,45.74071,4.84146,Entire home/apt,146,2,78,2021-10-10,0.70,1,8,11,6938712604861
758266,Chambre Presqu'île,3994549,Florian,,2e Arrondissement,45.75293,4.83113,Private room,90,1,13,2015-08-28,0.15,1,0,0,
759321,HEART OF LYON M Bead/Breakfeast,3912388,Monik,,3e Arrondissement,45.7536,4.84924,Private room,60,2,42,2019-05-17,0.39,2,344,0,
766349,Private terrace of Vieux Lyon,4041088,Christine,,5e Arrondissement,45.75939,4.82509,Entire home/apt,250,2,187,2021-12-05,1.71,1,318,32,6938512376867
768803,Lovely  Apt 10mn from Lyon center,2013018,Françoise,,5e Arrondissement,45.7486,4.81133,Entire home/apt,70,2,79,2020-02-19,0.72,1,31,0,
779134,Les Augustins in the Heart of Lyon,4108449,Ana & Mark,,1er Arrondissement,45.76658,4.8296,Entire home/apt,146,3,45,2021-11-22,0.45,1,295,5,6938112632345
783471,In the heart of the city,4131244,Cécile,,1er Arrondissement,45.77147,4.83324,Entire home/apt,75,2,58,2021-11-14,0.53,1,25,9,6938112561673
788756,"""L'ENDROIT"" in the City Center",4156965,Emilie,,7e Arrondissement,45.75158,4.84516,Entire home/apt,49,28,46,2021-07-24,0.44,18,68,1,6938712393441
788788,"""LA HALLE"" with balcony and carpark",4156965,Emilie,,7e Arrondissement,45.73417,4.82761,Entire home/apt,49,28,38,2021-10-05,0.37,18,68,3,6938712364440
788814,"""LA GRANDE COTE"" - Downtown",4156965,Emilie,,1er Arrondissement,45.76915,4.83193,Entire home/apt,89,28,62,2021-07-25,0.62,18,163,2,6938112364210
788841,"""LE DECOR"" - Calm and Downtown",4156965,Emilie,,7e Arrondissement,45.75158,4.84516,Entire home/apt,49,28,26,2020-08-15,0.24,18,68,0,6938712393441
789425,appartement canut dans les pentes,4159808,Katia,,1er Arrondissement,45.7707,4.83206,Entire home/apt,150,2,40,2017-12-10,0.36,3,337,0,6938113068944
792903,Quiet + leafy: Le Jardin des Etats,4177871,Willi Danelzik,,8e Arrondissement,45.73096,4.86915,Entire home/apt,58,2,77,2021-11-27,0.81,1,353,11,6938812480813
799734,Duplex avec jardin - Lyon centre,3395672,Anaïs,,1er Arrondissement,45.77286,4.83128,Entire home/apt,170,3,97,2021-08-10,1.00,1,0,3,6938112946210
809514,Charming flat Croix Rousse,4258974,Stéphanie,,4e Arrondissement,45.77486,4.83469,Entire home/apt,65,2,120,2021-11-28,1.14,1,277,14,6938412621374
814300,Bel appartement rénové,3245274,Anton,,3e Arrondissement,45.75633,4.84916,Entire home/apt,65,2,7,2019-12-08,0.09,1,344,0, 202108180053
815342,A room with a view in heart of Lyon,4283369,Line,,1er Arrondissement,45.76792,4.82914,Entire home/apt,65,3,305,2021-11-29,2.78,1,315,17,6938112511886
819263,Private Room,4298270,Sabrina,,3e Arrondissement,45.76256,4.86704,Private room,420,1,17,2015-01-14,0.18,1,0,0,
819294,"Chambre privée,  PartDieu Tête d'Or",4303075,Alice,,6e Arrondissement,45.76806,4.85582,Private room,66,2,48,2021-10-01,0.49,1,303,2,
822891,"""LE CRAYON"" -  Part Dieu",4156965,Emilie,,3e Arrondissement,45.76289,4.85319,Entire home/apt,69,28,26,2020-10-13,0.24,18,68,0,6938312392066
845068,APARTMENT INCOMPARABLE PLACE OF THE LYON,3548058,Labourselyon,,2e Arrondissement,45.76413,4.83734,Entire home/apt,228,15,10,2019-02-25,0.10,1,241,0,6938212387343
875127,private room with double bed,1221016,Romain,,3e Arrondissement,45.75059,4.87707,Private room,23,3,3,2020-09-04,0.13,8,0,0,
877193,Loft heart of Lyon ideal for family,4634428,Anthony (& Claire),,3e Arrondissement,45.75874,4.84776,Entire home/apt,249,2,143,2021-11-21,1.37,1,4,12,6938312653768
