id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28925,Grande maison centre ville Comme à la campagne,124398,Laurence,Bordeaux,Centre ville (Bordeaux),44.85024,-0.59209,Entire home/apt,255,2,2,2018-07-06,0.04,1,154,0,33063005371B2
218103,B&B Apart.Suite  / tropical garden,1127981,Luis,Bgles,Bgles,44.81545,-0.54808,Entire home/apt,110,2,58,2021-10-24,0.47,4,2,19,
222887,"Bordeaux Terrace - spectacular view, fast Wifi",1156398,Suzanna,Bordeaux,Bordeaux Sud,44.83611,-0.5664,Entire home/apt,189,3,46,2021-11-06,0.38,4,282,8,3306300031048
317273,"Bordeaux City Gardens - large 1 bd, park adjacent",1156398,Suzanna,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84782,-0.58105,Entire home/apt,134,3,29,2021-11-03,0.32,4,289,5,33063001366CB
317658,"Key to Bordeaux - fairytale view, 2 bd + elevator",1156398,Suzanna,Bordeaux,Centre ville (Bordeaux),44.83882,-0.56887,Entire home/apt,189,3,69,2021-11-30,0.58,4,285,10,33063001225CF
333031,STUDIO BORDEAUX TRIANGLE D OR ***** Climatisé,1697156,Antony,Bordeaux,Centre ville (Bordeaux),44.84256,-0.57794,Entire home/apt,79,1,372,2021-11-24,3.15,2,347,49,3306300055979
333592,Charming apt with terrace center town,1699300,Alexandre,Bordeaux,Centre ville (Bordeaux),44.84583,-0.58306,Entire home/apt,101,2,40,2020-10-18,0.35,1,0,0,3306300293043
365993,Modern&comfortable 3 rooms apart,1847986,Damien,Bgles,Bgles,44.81149,-0.55825,Entire home/apt,85,5,42,2021-12-08,0.36,2,325,8,
408270,B&B Bedroom N°2  / tropical garden,1127981,Luis,Bgles,Bgles,44.81562,-0.54787,Entire home/apt,90,2,112,2021-10-24,0.97,4,2,27,
410267,B&B Apart. N°3 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81443,-0.54876,Entire home/apt,90,2,79,2021-10-16,0.68,4,1,22,
412475,B&B Apart n°4 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81349,-0.54827,Entire home/apt,90,2,116,2021-10-26,1.01,4,0,30,
437127,Om Sweet Home B&B  chambre double,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85643,-0.58467,Private room,46,2,288,2020-10-30,2.51,2,331,0,3306300121281
438600,Om Sweet Home B&B  chambre Single,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85447,-0.582,Private room,31,2,224,2021-12-04,1.93,2,339,2,
450324,"House with garden, near Bordeaux",1727412,Anne-Laure,Cenon,Plaisance-Loret-Maregue,44.86238,-0.50698,Entire home/apt,110,2,16,2020-10-24,0.14,1,0,0,
